url,transferSize,decodedBodySize,resourceCount,scriptCount,imageCount,divCount,Runtime,RAPL package-0 (J),RAPL package-0-core (J),RAPL package-0-uncore (J),INA system energy (J)
leiden.nl/gemeente,12326,56454,55,25,6,229,5.550741,3.0894654,1.5925838,0.000122,6.668436
leiden.nl/gemeente,12326,56454,55,25,6,229,5.45922,2.6346068,1.419652,0,5.4313498
bureauwbtv.nl/commissies/kwaliteitsinstituut-wbtv,7620,43782,40,14,7,181,4.912232,5.3464346,3.1432548,0,12.659663
bureauwbtv.nl/commissies/kwaliteitsinstituut-wbtv,7620,43782,40,14,7,181,4.1511393,1.5041857,0.5325144,0.000122,2.8674288
bureauwbtv.nl/commissies/kwaliteitsinstituut-wbtv,7620,43782,40,14,7,181,4.1657124,1.3123229,0.490012,0,2.5180407
bureauwbtv.nl/commissies/kwaliteitsinstituut-wbtv,7620,43782,40,14,7,181,4.156766,1.6618004,0.7549187,0.000122,4.1656866
bureauwbtv.nl/commissies/kwaliteitsinstituut-wbtv,7620,43782,40,14,7,181,4.1527915,1.4976528,0.51890236,0,3.425747
samh.nl,361,61,0,0,0,0,4.02091,0.3166511,0.0929749,0,1.697072
samh.nl,361,61,0,0,0,0,4.021611,0.6981933,0.18280953,0.000122,1.6952963
samh.nl,361,61,0,0,0,0,4.019647,0.36818123,0.13062352,0,0.9815178
samh.nl,361,61,0,0,0,0,4.020747,0.8256583,0.28862214,0.000122,1.916234
samh.nl,361,61,0,0,0,0,4.0222635,0.21025872,0.044322252,0,1.2873955
waagroep.nl,25203,96320,118,53,47,154,4.5530014,6.5214653,3.3253133,0,14.037715
waagroep.nl,25203,96320,118,53,47,154,4.5803027,6.3116236,3.0372205,0.000122,13.093609
waagroep.nl,25203,96320,118,53,47,154,4.494458,6.123237,3.036329,0,12.154653
waagroep.nl,25203,96320,118,53,47,154,4.5066423,6.412647,3.1987975,0.000122,13.311312
waagroep.nl,25203,96320,118,53,47,154,4.5199895,6.808239,3.2578409,0,13.871277
gemeenteberkelland.nl,0,0,0,0,0,0,4.0315943,0.8011646,0.23399413,0,2.6075268
gemeenteberkelland.nl,0,0,0,0,0,0,4.0552483,0.5734637,0.222579,0.000123,1.4851532
gemeenteberkelland.nl,0,0,0,0,0,0,4.0310946,0.40833378,0.18556398,0,1.1087923
gemeenteberkelland.nl,0,0,0,0,0,0,4.0306916,0.43744135,0.12716687,0,1.0785618
gemeenteberkelland.nl,0,0,0,0,0,0,4.032965,0.5796492,0.22745234,0.000061,2.0728073
bunschoten.nl,27441,154429,50,20,5,137,4.319686,2.4102247,1.4454026,0,6.315795
bunschoten.nl,27441,154429,50,20,5,137,4.2905097,2.1717784,1.1575513,0.000122,4.6083975
bunschoten.nl,27441,154429,50,20,5,137,4.2558994,2.005947,1.0406315,0,4.321005
bunschoten.nl,27441,154429,50,20,5,137,4.260695,2.8138344,1.3459532,0.000122,5.6213655
bunschoten.nl,27441,154429,50,20,5,137,4.253638,2.1809936,1.0266479,0,5.10798
vaals.nl,30936,30636,38,15,14,114,4.785684,1.9827743,0.83206403,0,5.229987
vaals.nl,30936,30636,38,15,14,114,4.7920594,2.0042043,0.7980421,0,4.4326
vaals.nl,30936,30636,38,15,14,114,4.706667,1.5442476,0.5783785,0,3.1799994
vaals.nl,30936,30636,38,15,14,114,4.7091417,1.4719212,0.7173216,0.000122,3.5174847
vaals.nl,30936,30636,38,15,14,114,4.7649055,1.679292,0.6322518,0,3.8450832
rekenkamerwvolv.nl,30431,163339,33,21,1,99,4.423714,11.764082,7.261197,0.000183,25.458723
rekenkamerwvolv.nl,30431,163339,33,21,1,99,4.359626,10.212038,6.268289,0,21.839697
rekenkamerwvolv.nl,30431,163339,33,21,1,99,4.4209876,11.268263,6.8472157,0,23.684376
rekenkamerwvolv.nl,30431,163339,33,21,1,99,4.419871,12.414552,7.1635838,0.000183,25.655952
rekenkamerwvolv.nl,30431,163339,33,21,1,99,4.359625,10.761475,6.55314,0,22.058449
svb.nl,9777,90769,33,15,10,88,4.243525,4.9143353,2.1416233,0.000183,10.383577
svb.nl,9777,90769,33,15,10,88,4.2038555,3.0113957,1.6165869,0,6.7652407
svb.nl,9777,90769,33,15,10,88,4.220985,2.8886347,1.5148314,0,6.253132
svb.nl,9777,90769,33,15,10,88,4.193842,2.8226266,1.4715981,0.000183,6.4155874
svb.nl,9777,90769,33,15,10,88,4.2123957,2.9487789,1.5955298,0,6.4311237
ggdbzo.nl,14308,75241,10,26,19,106,4.0726275,3.4107528,1.4443219,0,7.878661
ggdbzo.nl,14308,75241,10,26,19,106,4.0632896,2.8314493,1.3108644,0.000122,5.589798
ggdbzo.nl,14308,75241,10,26,19,106,4.063404,2.8680637,1.3524692,0,5.839508
ggdbzo.nl,14308,75241,10,26,19,106,4.0706463,3.473755,1.4601923,0.000122,7.0399265
ggdbzo.nl,14308,75241,10,26,19,106,4.0596905,2.724024,1.2983494,0,5.7551584
albrandswaard.nl,26900,115534,62,41,10,230,5.3845873,2.4265149,1.2523097,0,5.057763
albrandswaard.nl,26900,115534,62,41,10,230,4.939956,1.73895,0.8668073,0.000122,3.9957361
albrandswaard.nl,26900,115534,62,41,10,230,5.0908475,1.9325528,0.9358698,0,4.3012924
albrandswaard.nl,26900,115534,62,41,10,230,5.2403,2.3957448,1.0536005,0.000245,5.11049
