Language,Benchmark,Runtime (s),RAPL package-0 (J),RAPL package-0-core (J),RAPL psys (J),INA system energy (J)
Roc Nea,csv-svg-path,2.09491444,8.26812077,6.57049751,0.13981420,27.34821701
Roc Nea,csv-svg-path,2.08555126,8.13024902,6.55810690,0.13831158,24.83370781
Roc Nea,csv-svg-path,2.08474302,8.15408897,6.58333206,0.13893405,26.86640358
Roc Nea,csv-svg-path,2.10010839,8.16657352,6.57084465,0.14071211,24.93268204
Roc Nea,csv-svg-path,2.09501553,8.12989426,6.56615543,0.13798164,24.78553772
Roc Nea,csv-svg-path,2.14317513,8.24528313,6.63377953,0.14157301,26.69943237
Roc Nea,csv-svg-path,2.11201334,8.40790558,6.63767576,0.14101654,27.38014603
Roc Nea,csv-svg-path,2.10644221,8.10906792,6.55307627,0.13780645,24.73385620
Roc Nea,csv-svg-path,2.07587767,8.14901161,6.58431959,0.13974175,24.60100365
Roc Nea,csv-svg-path,2.11020637,8.20766544,6.59384632,0.13823640,27.25837708
Roc Nea,csv-svg-path,2.12513852,8.19790840,6.58341599,0.14288914,26.76292992
Roc Nea,csv-svg-path,2.10817337,8.21049309,6.60594654,0.14028175,24.85576248
Roc Nea,csv-svg-path,2.10216379,8.15089226,6.58236313,0.14110741,26.74150658
Roc Nea,csv-svg-path,2.09867954,8.28004837,6.64147997,0.14201514,24.99773598
Roc Nea,csv-svg-path,2.10795331,8.24087906,6.62092113,0.14138314,27.10615540
Roc Nea,csv-svg-path,2.10563469,8.26687622,6.58275700,0.14264089,25.07905006
Roc Nea,csv-svg-path,2.08582401,8.12388420,6.55386829,0.14068738,26.89572144
Roc Nea,csv-svg-path,2.12099981,8.19128799,6.59480619,0.14521097,24.83282852
Roc Nea,csv-svg-path,2.11117744,8.18661308,6.58899117,0.13895342,26.63164139
Roc Nea,csv-svg-path,2.10938954,8.23286152,6.60729265,0.14337601,25.10358810
Roc Nea,csv-svg-path,2.14851427,8.50360584,6.73244047,0.14381069,27.25238609
Roc Nea,csv-svg-path,2.11399531,8.24976635,6.63327122,0.14397597,24.97035217
Roc Nea,csv-svg-path,2.08751559,8.17556953,6.56737518,0.13999029,26.98644638
Roc Nea,csv-svg-path,2.10869312,8.25053883,6.60913038,0.14100572,24.94858170
Roc Nea,csv-svg-path,2.12248206,8.29238796,6.63048935,0.14329611,27.20517921
Roc Nea,csv-svg-path,2.12106538,8.19911575,6.59809589,0.14435595,26.55146217
Roc Nea,csv-svg-path,2.07721090,8.12114239,6.56722116,0.14228520,24.72361946
Roc Nea,csv-svg-path,2.10880971,8.34049606,6.64238310,0.14497194,27.32337379
Roc Nea,csv-svg-path,2.11892676,8.22182941,6.62601471,0.14280093,24.89903641
Roc Nea,csv-svg-path,2.11763906,8.29814816,6.64847946,0.14062479,26.90133858
Roc Nea,csv-svg-path,2.10589838,8.29446220,6.60598564,0.14025584,25.10982895
Roc Nea,csv-svg-path,2.09600854,8.13077736,6.55659676,0.13851634,26.87751198
Roc Nea,csv-svg-path,2.08910751,8.18847656,6.57710791,0.13904974,25.04610062
Roc Nea,csv-svg-path,2.07570815,8.11675644,6.56852770,0.13895136,24.82005692
Roc Nea,csv-svg-path,2.09514141,8.27953053,6.63590574,0.14060470,27.19156265
Roc Nea,csv-svg-path,2.08344889,8.17066574,6.59255219,0.14090800,24.99371719
Roc Nea,csv-svg-path,2.11439753,8.15212631,6.57775068,0.14177276,26.68838310
Roc Nea,csv-svg-path,2.10553694,8.16577911,6.59167671,0.14251941,24.73547554
Roc Nea,csv-svg-path,2.08731365,8.15557384,6.57209492,0.14237340,26.79930687
Roc Nea,csv-svg-path,2.12126613,8.22436237,6.59771109,0.14172786,24.95735359
Roc Nea,csv-svg-path,2.10158038,8.16838551,6.58022308,0.14355741,26.86754990
Roc Nea,csv-svg-path,2.09917212,8.26648903,6.62226725,0.14353356,25.27810478
Roc Nea,csv-svg-path,2.08387685,8.34110832,6.60117722,0.14199941,27.80545235
Roc Nea,csv-svg-path,2.09176373,8.24231243,6.63086414,0.14053479,25.10385132
Roc Nea,csv-svg-path,2.09687495,8.12722778,6.58171940,0.14167698,24.78221130
Roc Nea,csv-svg-path,2.08244181,8.34375381,6.64294338,0.14177753,27.15176773
Roc Nea,csv-svg-path,2.09212780,8.20119190,6.60946608,0.14199418,25.07194901
Roc Nea,csv-svg-path,2.12720132,8.25283241,6.62062979,0.14548135,26.94674110
Roc Nea,csv-svg-path,2.15106225,8.48999119,6.73628139,0.14816540,24.96657944
Roc Nea,csv-svg-path,2.10265303,8.32294655,6.61326027,0.13993987,25.27188110
Roc Nea,csv-svg-path,2.08821416,8.24065399,6.59495592,0.13778251,24.95394707
Roc Nea,csv-svg-path,2.09098315,8.23150063,6.62099171,0.13999683,26.98024559
Roc Nea,csv-svg-path,2.07893109,8.13536644,6.57059288,0.13853566,24.75179482
Roc Nea,csv-svg-path,2.09763741,8.20734596,6.59281492,0.14093322,26.81209946
Roc Nea,csv-svg-path,2.08870983,8.16629791,6.59716511,0.13820088,24.67181015
Roc Nea,csv-svg-path,2.07267499,8.27422714,6.63236094,0.13954814,25.10672951
Roc Nea,csv-svg-path,2.09777069,8.29471397,6.64895391,0.14282216,27.53061104
Roc Nea,csv-svg-path,2.09389734,8.27142715,6.64011574,0.14190587,25.06878662
Roc Nea,csv-svg-path,2.11470270,8.24702644,6.61605215,0.14158505,26.90658760
Roc Nea,csv-svg-path,2.08883691,8.19166374,6.61790514,0.14125192,24.70283318
Roc Nea,csv-svg-path,2.12616420,8.31287384,6.62463760,0.14525333,26.91734505
Roc Nea,csv-svg-path,2.08516073,8.25484848,6.61301517,0.13813460,25.05315590
Roc Nea,send-static-file,1.83779526,6.78291559,5.41786766,0.11936501,21.58917618
Roc Nea,send-static-file,1.84872043,6.95864487,5.47704172,0.12090655,20.56964111
Roc Nea,send-static-file,1.83268487,6.85881233,5.43435621,0.12103182,22.41081238
Roc Nea,send-static-file,1.81562376,6.78482342,5.42613459,0.11665590,22.12881660
Roc Nea,send-static-file,1.82699752,6.78214979,5.42148542,0.12032551,20.13973045
Roc Nea,send-static-file,1.81350636,6.72797203,5.34943724,0.11851954,20.38260269
Roc Nea,send-static-file,1.81505001,6.73979950,5.39671040,0.11947274,22.09859085
Roc Nea,send-static-file,1.83690667,6.79687691,5.43571520,0.12133171,20.18451309
Roc Nea,send-static-file,1.82474661,6.78008270,5.41267109,0.12029921,22.33125496
Roc Nea,send-static-file,1.84193134,6.82854033,5.44096279,0.12003422,22.23802948
Roc Nea,send-static-file,1.84593844,6.89653111,5.46058989,0.11948443,22.35586548
Roc Nea,send-static-file,1.82398510,6.86750364,5.46456432,0.11811396,22.36386681
Roc Nea,send-static-file,1.82501745,6.79532576,5.43840075,0.11901304,20.33077049
Roc Nea,send-static-file,1.80042505,6.77694988,5.41376305,0.11457126,22.28099060
Roc Nea,send-static-file,1.83672738,6.89677715,5.44824457,0.11883248,22.34108353
Roc Nea,send-static-file,1.83155155,6.74164295,5.42940187,0.11915729,20.13158798
Roc Nea,send-static-file,1.84597909,6.99265432,5.49439907,0.12180281,22.44954300
Roc Nea,send-static-file,1.83021533,6.82359505,5.46957111,0.12051989,22.25897789
Roc Nea,send-static-file,1.85501993,6.75330639,5.43614388,0.11983240,21.80837822
Roc Nea,send-static-file,1.81826878,6.78588295,5.44247818,0.11844611,20.12408638
Roc Nea,send-static-file,1.82297444,6.83161545,5.46002436,0.11886255,22.36567307
Roc Nea,send-static-file,1.83841205,6.82121658,5.45833397,0.11624350,22.30682182
Roc Nea,send-static-file,1.84736645,6.90555429,5.49609470,0.12165941,22.25956345
Roc Nea,send-static-file,1.82521343,6.82698774,5.48067951,0.11925402,20.20542145
Roc Nea,send-static-file,1.87289143,6.91478062,5.52552366,0.12431683,24.05767632
Roc Nea,send-static-file,1.81921101,6.76609612,5.44604826,0.11855458,20.12240219
Roc Nea,send-static-file,1.83388019,6.83477020,5.47824717,0.12064639,22.31492424
Roc Nea,send-static-file,1.81672072,6.82270813,5.45959759,0.11785997,22.25185394
Roc Nea,send-static-file,1.84144521,6.91258478,5.51937771,0.11875972,20.39514923
Roc Nea,send-static-file,1.87895298,6.81755638,5.45553637,0.12550634,22.01558876
Roc Nea,send-static-file,1.81903148,6.77035618,5.43770409,0.11776235,21.87272263
Roc Nea,send-static-file,1.84901524,6.84634876,5.44606924,0.12004799,22.16286469
Roc Nea,send-static-file,1.86578560,7.17636490,5.57712078,0.12137538,22.88288116
Roc Nea,send-static-file,1.83959317,6.86732578,5.48147392,0.11732328,22.49221039
Roc Nea,send-static-file,1.83836031,6.85688448,5.47884703,0.12137129,20.27566528
Roc Nea,send-static-file,1.81654263,6.82189846,5.47627735,0.11804572,22.22092247
Roc Nea,send-static-file,1.84535909,6.92298841,5.52760172,0.11741836,22.35690117
Roc Nea,send-static-file,1.84423208,6.83724022,5.45514202,0.11694675,22.07766724
Roc Nea,send-static-file,1.83116114,6.80758667,5.45678377,0.11659930,20.03853607
Roc Nea,send-static-file,1.83331990,6.86015892,5.48318434,0.11998402,22.37842751
Roc Nea,send-static-file,1.86789989,6.85040998,5.47712326,0.11945080,22.25410080
Roc Nea,send-static-file,1.83525574,6.82257748,5.45870304,0.11830617,22.03121567
Roc Nea,send-static-file,1.83853865,6.87405014,5.51136160,0.12228355,22.30659676
Roc Nea,send-static-file,1.82199907,6.76960754,5.42300987,0.12089058,20.17991829
Roc Nea,send-static-file,1.83330882,6.84381866,5.47921801,0.11681119,20.31594658
Roc Nea,send-static-file,1.84849215,7.03433418,5.49989128,0.11602706,22.94504929
Roc Nea,send-static-file,1.86560655,6.95217037,5.52092552,0.11783815,22.35195160
Roc Nea,send-static-file,1.82447529,6.75903940,5.44602299,0.11499339,21.73798943
Roc Nea,send-static-file,1.88058031,7.06313229,5.56871843,0.11779025,22.13768005
Roc Nea,send-static-file,1.84398675,6.95201921,5.51473570,0.12018552,22.54685593
Roc Nea,send-static-file,1.84922433,6.92681694,5.49884367,0.11906776,22.31874084
Roc Nea,send-static-file,1.86142719,6.89654541,5.49643230,0.11900160,22.07817268
Roc Nea,send-static-file,1.86243749,6.84564400,5.48980284,0.12148802,20.10761642
Roc Nea,send-static-file,1.85103726,7.05105877,5.55146170,0.12050381,22.40925026
Roc Nea,send-static-file,1.86020815,6.90121841,5.51431227,0.11822639,22.23660278
Roc Nea,send-static-file,1.87787509,6.83756351,5.46925163,0.12234898,21.76751518
Roc Nea,send-static-file,1.85310948,7.03284836,5.56291723,0.12059386,22.28054428
Roc Nea,send-static-file,1.84239316,6.89779377,5.51458645,0.11819611,22.29970551
Roc Nea,send-static-file,1.84881020,6.88885832,5.49589300,0.11956216,22.16323090
Roc Nea,send-static-file,1.85563982,6.95670176,5.52946615,0.11945685,22.24477005
Roc Nea,send-static-file,1.82740200,6.75567150,5.43084478,0.11781728,21.79525757
Roc Nea,send-static-file,1.81679273,6.87184525,5.48693323,0.11633287,20.43922615
Roc Nea,send-static-file,1.85920262,6.80514193,5.47125864,0.12318591,21.83215141
Roc Nea,send-static-file,1.88091421,6.86550617,5.49739790,0.12419412,21.82458115
Roc Nea,send-static-file,1.89567840,6.87701797,5.48600769,0.12616344,21.64193535
Roc Nea,send-static-file,1.86044800,7.21027470,5.59210777,0.12145770,22.64242363
Roc Nea,send-static-file,1.82011366,6.85208797,5.47537899,0.11976066,22.43328857
Roc Nea,send-static-file,1.84555030,6.86353254,5.49645615,0.11955142,22.07530975
Roc Nea,send-static-file,1.87124324,6.85130692,5.47166920,0.12397624,21.74812317
Roc Nea,send-static-file,1.84902859,6.68928242,5.39144087,0.12334380,21.31909180
Roc Nea,send-static-file,1.82401228,6.78683281,5.44228363,0.11683155,20.17631912
Roc Nea,send-static-file,1.83093858,6.90633774,5.49263239,0.12117974,22.32018471
Roc Nea,send-static-file,1.83916938,6.93155336,5.50428104,0.12001682,22.55546761
Roc Nea,send-static-file,1.89094639,6.82046318,5.46120071,0.12251341,21.58789444
Roc Nea,send-static-file,1.84807122,6.88334846,5.49566031,0.12134255,21.97705269
Roc Nea,send-static-file,1.84752607,7.01698875,5.53910923,0.12025296,22.63427734
Roc Nea,send-static-file,1.84659040,6.94203663,5.53089952,0.12228139,22.35470009
Roc Nea,send-static-file,1.82862639,6.90546894,5.50079346,0.11773739,20.38681793
Roc Nea,send-static-file,1.82782745,6.89554071,5.49220324,0.12128971,22.51324654
Roc Nea,send-static-file,1.87975407,7.00588655,5.55415106,0.12323499,22.32665634
Roc Nea,send-static-file,1.84615064,6.93365955,5.52136040,0.11881016,22.19923592
Roc Nea,send-static-file,1.85993361,7.08465004,5.58782482,0.12219763,22.51834297
Roc Nea,send-static-file,1.82685924,6.90078259,5.46934891,0.12142664,20.45247841
Roc Nea,send-static-file,1.82544911,6.90241051,5.48968935,0.11986139,22.29874992
Roc Nea,send-static-file,1.83134997,6.94240999,5.52970219,0.12184539,22.50694847
Roc Nea,send-static-file,1.88061345,6.87179470,5.49858665,0.12444274,21.95011902
Roc Nea,send-static-file,1.86320806,6.90316486,5.50425243,0.12214813,22.01248932
Roc Nea,send-static-file,1.83385348,6.95688295,5.51041508,0.12070779,22.43997192
Roc Nea,send-static-file,1.86777163,6.88266182,5.49782610,0.12049077,21.94182968
Roc Nea,send-static-file,1.82190156,6.90135813,5.50852966,0.12009909,20.30509186
Roc Nea,send-static-file,1.87501907,6.94732237,5.51762629,0.12617701,22.64762115
Roc Nea,send-static-file,1.83325052,6.92850780,5.52560997,0.12029009,22.06605148
Roc Nea,send-static-file,1.85799050,6.81840897,5.46661568,0.12424260,21.92806816
Roc Nea,send-static-file,1.84725666,6.96737862,5.55164766,0.12196612,22.25975800
Roc Nea,send-static-file,1.84430981,6.96907043,5.53594446,0.11981456,22.39002800
Roc Nea,send-static-file,1.85309112,6.88456345,5.50737715,0.12071715,20.12432671
Roc Nea,send-static-file,1.84234464,6.79863071,5.45557022,0.12033286,21.92479134
Roc Nea,send-static-file,1.84790933,6.96771955,5.52301884,0.12159005,22.28984261
Roc Nea,send-static-file,1.82708049,6.86373901,5.48159599,0.11690722,22.29583168
Roc Nea,send-static-file,1.86156631,6.98872614,5.51472855,0.12302745,22.32792473
Roc Nea,varying-allocations,1.89553046,7.23693848,5.64630032,0.12524971,21.23595047
Roc Nea,varying-allocations,1.92096400,7.21591759,5.68526030,0.12711653,24.53422546
Roc Nea,varying-allocations,1.96573162,7.22837734,5.68638325,0.12984422,22.26668549
Roc Nea,varying-allocations,1.92674851,7.22217321,5.69757318,0.12641734,24.14888382
Roc Nea,varying-allocations,1.91061080,7.18659496,5.67363596,0.12697119,22.61523819
Roc Nea,varying-allocations,1.93513823,7.25378275,5.71158648,0.12903397,22.38388443
Roc Nea,varying-allocations,1.91677284,7.21451187,5.69329834,0.12724216,24.41671944
Roc Nea,varying-allocations,1.93259478,7.05743027,5.61454487,0.12730318,21.91968155
Roc Nea,varying-allocations,1.93484855,7.12809515,5.65778065,0.13038144,21.91565132
Roc Nea,varying-allocations,1.90783453,7.24770069,5.70827007,0.12670800,24.55770111
Roc Nea,varying-allocations,1.90865183,7.21707153,5.67065382,0.12608638,22.61874008
Roc Nea,varying-allocations,1.95240474,7.39134169,5.77654982,0.12998772,22.35301208
Roc Nea,varying-allocations,1.90429127,7.29015970,5.71343660,0.12603064,24.72028542
Roc Nea,varying-allocations,1.90883708,7.23459148,5.70597506,0.12559453,22.64965820
Roc Nea,varying-allocations,1.94671404,7.34239101,5.72895050,0.12922147,22.64443779
Roc Nea,varying-allocations,1.89797986,7.12711000,5.66571474,0.12661596,22.20032120
Roc Nea,varying-allocations,1.90924335,7.19956732,5.68207121,0.12778626,24.43018150
Roc Nea,varying-allocations,1.90096569,7.23094559,5.70405769,0.12864491,22.53873253
Roc Nea,varying-allocations,1.90817666,7.26075459,5.70658875,0.12645972,22.61958885
Roc Nea,varying-allocations,1.91135859,7.28980637,5.73020363,0.12817965,22.61389923
Roc Nea,varying-allocations,1.90105343,7.15499687,5.70166874,0.12736255,22.28857422
Roc Nea,varying-allocations,1.90399015,7.21685982,5.69997835,0.12701227,24.50207520
Roc Nea,varying-allocations,1.94509149,7.22455406,5.71928072,0.12790349,22.27233887
Roc Nea,varying-allocations,1.91357493,7.03924561,5.63245344,0.12759648,21.67243767
Roc Nea,varying-allocations,1.91358888,7.25327301,5.71607018,0.12662026,24.39116287
Roc Nea,varying-allocations,1.89811945,7.20152855,5.69701242,0.12759079,22.48132133
Roc Nea,varying-allocations,1.90609050,7.23559141,5.73444223,0.12685789,22.52956963
Roc Nea,varying-allocations,1.90762472,7.28802013,5.70865774,0.12878624,24.58932495
Roc Nea,varying-allocations,1.91067147,7.22867203,5.71873522,0.12678725,22.64637947
Roc Nea,varying-allocations,1.91028273,7.29253721,5.73171186,0.12856326,22.80332375
Roc Nea,varying-allocations,1.90318561,7.26699924,5.72740078,0.12616968,22.62851334
Roc Nea,varying-allocations,1.89463532,7.21428919,5.67470741,0.12697253,22.64380074
Roc Nea,varying-allocations,1.90020895,7.16559029,5.68795729,0.12682559,24.25883484
Roc Nea,varying-allocations,1.90005279,7.24091911,5.72502089,0.12585199,22.57161331
Roc Nea,varying-allocations,1.96810079,7.12386799,5.67510462,0.13176069,21.79369926
Roc Nea,varying-allocations,1.90937901,7.33087587,5.75963211,0.12601319,24.49243927
Roc Nea,varying-allocations,1.89806437,7.20186329,5.68688583,0.12588264,22.54391861
Roc Nea,varying-allocations,1.91057277,7.24036789,5.70665979,0.12697177,22.49030495
Roc Nea,varying-allocations,1.91560459,7.31150913,5.74004364,0.12634417,22.54380798
Roc Nea,varying-allocations,1.95197439,7.21058559,5.69968891,0.12999536,23.97878265
Roc Nea,varying-allocations,1.91172123,7.13058472,5.66394567,0.12597707,22.05075073
Roc Nea,varying-allocations,1.90112472,7.19968033,5.68853855,0.12626246,22.50719833
Roc Nea,varying-allocations,1.93490720,7.17841530,5.69366407,0.12818253,23.97804642
Roc Nea,varying-allocations,1.96842921,7.53281689,5.84938765,0.13200063,22.82436180
Roc Nea,varying-allocations,1.89212298,7.26294088,5.70400572,0.12524128,22.55454254
Roc Nea,varying-allocations,1.90749490,7.18276453,5.71221018,0.12744622,24.33955765
Roc Nea,varying-allocations,1.90403700,7.24424934,5.70980072,0.12749955,22.56449127
Roc Nea,varying-allocations,1.91231370,7.31968212,5.74781179,0.12615092,22.76844215
Roc Nea,varying-allocations,1.90981364,7.31039095,5.72309065,0.12509148,22.77291298
Roc Nea,varying-allocations,1.89800608,7.25383854,5.72113132,0.12478555,22.48152351
Roc Nea,varying-allocations,1.89691114,7.14087772,5.68071032,0.12547244,24.54598045
Roc Nea,varying-allocations,1.92817426,7.34350586,5.76597643,0.12651736,22.77133560
Roc Nea,varying-allocations,1.90733743,7.24930477,5.72125721,0.12573965,22.52733994
Roc Nea,varying-allocations,1.89666057,7.20183182,5.71003246,0.12718630,22.48392868
Roc Nea,varying-allocations,1.90913939,7.30483723,5.74488544,0.12552887,22.71161842
Roc Nea,varying-allocations,1.90102696,7.12732983,5.68598509,0.12681298,22.19487190
Roc Nea,varying-allocations,1.90854073,7.26394463,5.73639917,0.12523310,22.49393845
Roc Nea,varying-allocations,1.89781594,7.29455376,5.74666214,0.12521547,22.60686302
Roc Nea,varying-allocations,1.92389441,7.26900196,5.72684431,0.12646036,24.59148788
Roc Nea,varying-allocations,1.93680000,7.53354311,5.82903862,0.12754434,23.09966278
Roc Nea,varying-allocations,1.91159487,7.35515594,5.76130915,0.12683302,22.89472771
Roc Nea,varying-allocations,1.92563236,7.40453529,5.78972340,0.12704454,24.90087891
Roc Nea,varying-allocations,1.90631425,7.33373642,5.75401258,0.12465744,22.77916908
Roc Nea,varying-allocations,1.96015918,7.34030771,5.74283457,0.12980714,22.65164948
Roc Nea,varying-allocations,1.94475436,7.40271521,5.74580383,0.12888569,24.42919159
Roc Nea,varying-allocations,1.91641545,7.33563900,5.76688051,0.12688068,22.69860840
Roc Nea,varying-allocations,1.92829812,7.39963913,5.79208708,0.12663744,24.89611435
Roc Nea,varying-allocations,1.93436027,7.45890856,5.81011152,0.12855797,23.01027489
Roc Nea,varying-allocations,1.90870214,7.33698463,5.76140833,0.12761061,22.86865044
Roc Nea,varying-allocations,1.92737365,7.30465031,5.75683832,0.12836069,24.55401611
Roc Nea,varying-allocations,1.90836215,7.30042934,5.75826740,0.12560186,22.61925697
Roc Nea,varying-allocations,1.88767123,7.18029404,5.68252850,0.12372292,22.53125191
Roc Nea,varying-allocations,1.92655611,7.30421305,5.73128414,0.12831131,22.61797905
Roc Nea,varying-allocations,1.91610456,7.26369715,5.72906971,0.12780148,24.41791534
Roc Nea,varying-allocations,1.94882584,7.51857567,5.83854532,0.13028790,22.82816124
Roc Nea,varying-allocations,1.94416571,7.34007740,5.78242159,0.12852877,22.61774445
Roc Nea,varying-allocations,1.93826962,7.29652977,5.75168610,0.12758268,24.37828445
Roc Nea,varying-allocations,1.91930747,7.49944210,5.78265095,0.12665308,23.28718758
Roc Nea,varying-allocations,1.91239333,7.35659981,5.75933886,0.12743169,22.92454910
Roc Nea,varying-allocations,1.93961906,7.25300694,5.72713995,0.12835488,24.56337357
Roc Nea,varying-allocations,1.91539323,7.27285337,5.71094990,0.12769043,22.45043564
Roc Nea,varying-allocations,1.92004824,7.24707413,5.73857164,0.12658165,24.41086388
Roc Nea,varying-allocations,1.92252052,7.14538765,5.69646025,0.12715355,22.12519455
Roc Nea,varying-allocations,1.98197556,7.08318043,5.66697502,0.13240173,21.61264229
Roc Nea,varying-allocations,1.94062066,7.31552172,5.77086496,0.12919343,24.21783257
Roc Nea,varying-allocations,1.90952802,7.35736752,5.76187658,0.12710989,22.52342224
Roc Nea,varying-allocations,1.91727161,7.34272671,5.76936102,0.12808847,24.85332870
Roc Nea,varying-allocations,1.92686367,7.41577196,5.80278635,0.12775756,22.92992783
Roc Nea,varying-allocations,1.91159844,7.39549446,5.79683065,0.12548995,22.80097198
Roc Nea,varying-allocations,1.96212077,7.36817646,5.79495049,0.13136490,24.49189186
Roc Nea,varying-allocations,1.95181274,7.56881952,5.82623053,0.12969284,22.85407066
Roc Nea,varying-allocations,1.90050817,7.30951214,5.76074314,0.12517297,22.69580078
Roc Nea,varying-allocations,1.91617346,7.40750504,5.79351473,0.12786141,25.19904137
Roc Nea,varying-allocations,1.90273869,7.32943439,5.78042364,0.12678657,22.72306252
Roc Nea,varying-allocations,1.90904117,7.36871815,5.77510834,0.12626338,22.83679390
Roc Nea,varying-allocations,2.03061032,7.13315868,5.67705822,0.13763177,23.11943817
Roc Nea,varying-allocations,1.90119839,7.27518368,5.73851967,0.12681033,24.31956482
Roc Nea,varying-allocations,1.92667127,7.33155107,5.74738503,0.12995853,22.68027306
Roc Nea,varying-allocations,1.91033483,7.27011347,5.74202299,0.12563245,22.70948029
Roc Nea,varying-allocations,1.91085780,7.26834488,5.73873711,0.12763837,22.70854568
Rust Nea,csv-svg-path,1.96331465,7.79774666,6.23507881,0.13061449,22.52100754
Rust Nea,csv-svg-path,1.96917796,7.90922070,6.30341530,0.13040107,25.44802475
Rust Nea,csv-svg-path,1.95764351,7.84288120,6.26096249,0.13021293,25.46864700
Rust Nea,csv-svg-path,1.97730887,7.88143635,6.30488062,0.13119169,23.27723694
Rust Nea,csv-svg-path,1.97957885,8.03789139,6.34555244,0.13353668,25.64817810
Rust Nea,csv-svg-path,2.00439906,7.87187529,6.24998903,0.13583997,25.13505173
Rust Nea,csv-svg-path,1.98292756,7.80104876,6.27363110,0.13409506,24.79844093
Rust Nea,csv-svg-path,1.96361780,7.73365355,6.23926115,0.13506481,22.86421585
Rust Nea,csv-svg-path,1.94184375,7.80901098,6.23479509,0.13051756,25.43439484
Rust Nea,csv-svg-path,1.96805096,7.75670004,6.24920368,0.13328746,23.16878891
Rust Nea,csv-svg-path,1.96892905,7.75697708,6.26071501,0.13461591,24.91721916
Rust Nea,csv-svg-path,1.96614170,7.69236851,6.20214987,0.13368289,22.76595306
Rust Nea,csv-svg-path,2.00316811,7.89603806,6.23930597,0.13823894,25.35600281
Rust Nea,csv-svg-path,1.96232367,7.83293247,6.27503157,0.13386376,25.05402946
Rust Nea,csv-svg-path,1.96155703,7.73634195,6.23238230,0.13363159,23.05539894
Rust Nea,csv-svg-path,1.96209371,7.76897526,6.23684597,0.13392831,25.27318954
Rust Nea,csv-svg-path,1.96974349,7.74368572,6.23646498,0.13503136,24.88451385
Rust Nea,csv-svg-path,1.98219657,7.88604069,6.31618261,0.13477832,23.23724747
Rust Nea,csv-svg-path,1.97073591,7.78705120,6.25400829,0.13501605,25.13273811
Rust Nea,csv-svg-path,1.99963546,8.08947945,6.38656187,0.13426441,25.64356804
Rust Nea,csv-svg-path,1.97152174,7.75171280,6.19783974,0.13482094,24.97508240
Rust Nea,csv-svg-path,1.95087123,7.69529247,6.20772982,0.13141635,23.16825485
Rust Nea,csv-svg-path,1.98647118,7.81046772,6.26766968,0.13550541,25.01085472
Rust Nea,csv-svg-path,1.98251176,7.80416679,6.27660084,0.13227147,22.92418480
Rust Nea,csv-svg-path,1.96720123,7.89498615,6.32423878,0.13293356,25.29530716
Rust Nea,csv-svg-path,1.97206426,7.83841372,6.30148554,0.13517857,25.06786346
Rust Nea,csv-svg-path,1.95277691,7.84666538,6.31697893,0.13095997,23.25859833
Rust Nea,csv-svg-path,1.98048186,7.83146429,6.29962730,0.13468178,25.20906448
Rust Nea,csv-svg-path,1.97991252,7.99926186,6.34344435,0.13402055,25.61633110
Rust Nea,csv-svg-path,1.98831356,7.75296068,6.23990202,0.13511099,22.94506073
Rust Nea,csv-svg-path,1.98126507,7.77830744,6.25969315,0.13357168,24.92641258
Rust Nea,csv-svg-path,1.98480105,7.87062502,6.30659008,0.13406716,25.07634163
Rust Nea,csv-svg-path,2.03237414,7.82516575,6.29565907,0.14047357,24.42878342
Rust Nea,csv-svg-path,1.97566974,7.76283312,6.28111458,0.13603896,22.74891663
Rust Nea,csv-svg-path,1.98673916,8.02090740,6.36359024,0.13147327,25.35412598
Rust Nea,csv-svg-path,1.96791363,7.75753307,6.25397778,0.13115257,25.13778496
Rust Nea,csv-svg-path,1.98213911,7.93160629,6.31612682,0.13258222,23.42485046
Rust Nea,csv-svg-path,1.98797584,7.93234444,6.33337975,0.13255320,25.53941536
Rust Nea,csv-svg-path,1.96825576,7.86097956,6.29843950,0.13035429,25.35592270
Rust Nea,csv-svg-path,1.96558762,7.84537125,6.30431604,0.13234845,25.20444298
Rust Nea,csv-svg-path,1.98904419,7.84942389,6.30825138,0.13320774,23.19375420
Rust Nea,csv-svg-path,2.00327516,7.85936451,6.33982086,0.13616228,24.88706017
Rust Nea,csv-svg-path,1.96505857,7.88071823,6.31223965,0.13064760,25.14288902
Rust Nea,csv-svg-path,1.96472430,7.77683258,6.26655817,0.13254575,23.11223602
Rust Nea,csv-svg-path,1.99664247,7.90051270,6.30561733,0.13339557,25.14892006
Rust Nea,csv-svg-path,1.96983457,7.82721615,6.27222347,0.13063495,25.04059982
Rust Nea,csv-svg-path,2.00410891,7.88876724,6.30482674,0.13242644,25.04182053
Rust Nea,csv-svg-path,1.98428512,7.84943247,6.29522657,0.13261011,23.17101288
Rust Nea,csv-svg-path,1.97732651,7.83215237,6.28662825,0.13076343,25.08970451
Rust Nea,csv-svg-path,1.98078156,7.85789108,6.32602549,0.13162613,25.02102661
Rust Nea,csv-svg-path,1.98238492,8.10912132,6.35467720,0.13129641,23.70566177
Rust Nea,csv-svg-path,1.97286069,7.83290386,6.31147909,0.13016129,25.22268867
Rust Nea,csv-svg-path,1.96367741,7.87808752,6.33276033,0.13182889,25.23910904
Rust Nea,csv-svg-path,2.03602409,7.90008640,6.32612514,0.13614529,24.67225838
