Language,Benchmark,Runtime (s),RAPL package-0 (J),RAPL package-0-core (J),RAPL psys (J),INA system energy (J)
Go,csv-svg-path,2.37709093,8.50928879,6.69456244,0.15194303,27.18745995
Go,csv-svg-path,2.37774062,8.42503929,6.63151073,0.15413100,27.03004837
Go,csv-svg-path,2.39087820,8.51610565,6.70945120,0.15545341,27.06905937
Go,csv-svg-path,2.36580658,8.43180084,6.62254381,0.15053003,29.20763397
Go,csv-svg-path,2.38054776,8.55388451,6.69318676,0.15451470,27.49377823
Go,csv-svg-path,2.37697816,8.52894306,6.69854021,0.15249375,27.34391022
Go,csv-svg-path,2.39144754,8.54484177,6.70677185,0.15221064,27.25554085
Go,csv-svg-path,2.37884402,8.51210594,6.65252113,0.15325898,29.37182617
Go,csv-svg-path,2.38418961,8.47458267,6.65456247,0.15311554,27.14351654
Go,csv-svg-path,2.37114644,8.48315334,6.63966179,0.15069167,27.16683769
Go,csv-svg-path,2.37036657,8.47081280,6.66299295,0.15155870,27.26198196
Go,csv-svg-path,2.41030622,8.70135021,6.79648304,0.15576482,29.44057274
Go,csv-svg-path,2.38227391,8.48979092,6.68868542,0.15125309,27.08444214
Go,csv-svg-path,2.39163184,8.59849644,6.72378302,0.15220679,27.31771088
Go,csv-svg-path,2.37026978,8.49025917,6.67575788,0.15320820,29.29340553
Go,csv-svg-path,2.37932634,8.49990654,6.68854618,0.15435053,27.05846214
Go,csv-svg-path,2.37200928,8.47619247,6.67082739,0.15287538,27.04029465
Go,csv-svg-path,2.35959148,8.47489262,6.68174362,0.15215185,27.15624619
Go,csv-svg-path,2.37352896,8.50313377,6.69332314,0.15669793,27.16257858
Go,csv-svg-path,2.35077834,8.44415665,6.65141582,0.15295975,29.32825470
Go,csv-svg-path,2.37403536,8.53587723,6.71097326,0.15607914,27.16167259
Go,csv-svg-path,2.39730740,8.57795048,6.74050093,0.15480527,27.18256378
Go,csv-svg-path,2.38330293,8.59950256,6.70854282,0.15532722,27.33260345
Go,csv-svg-path,2.43771553,9.01487446,6.91819668,0.15631819,29.86031723
Go,send-static-file,2.10693979,7.54307079,5.93498659,0.13907978,23.63921738
Go,send-static-file,2.00463891,7.06148958,5.58749151,0.13339426,23.07212257
Go,send-static-file,1.99920034,7.03971577,5.57935572,0.13250113,21.05059624
Go,send-static-file,2.01519608,7.15798378,5.63919497,0.13274348,23.36574745
Go,send-static-file,1.99162173,7.04603100,5.58534431,0.12968899,23.28289604
Go,send-static-file,2.02872753,7.19781256,5.67443466,0.13302381,23.31030464
Go,send-static-file,2.03671741,7.25210762,5.72034740,0.13338761,23.35851860
Go,send-static-file,2.00288010,7.07924891,5.60371542,0.13421537,23.26276779
Go,send-static-file,1.99845457,7.10068512,5.62258053,0.13391662,23.30192947
Go,send-static-file,2.00441885,7.07588577,5.59282303,0.13303165,23.22876549
Go,send-static-file,2.03176451,7.24351931,5.69141197,0.13389198,23.46112442
Go,send-static-file,2.02464557,7.24481106,5.70089436,0.13186575,23.47385216
Go,send-static-file,2.02526140,7.17312908,5.68215752,0.13313727,23.25400162
Go,send-static-file,2.10180449,7.64555979,5.89001846,0.13567996,23.67964935
Go,send-static-file,2.00158334,7.08307171,5.59792233,0.13264838,23.39008522
Go,send-static-file,1.99494910,7.05488777,5.57116461,0.13262868,23.33944702
Go,send-static-file,1.99816608,7.06526804,5.61479664,0.13007608,23.14619637
Go,send-static-file,2.03021789,7.16956377,5.66977262,0.13165784,23.27639008
Go,send-static-file,2.03070831,7.18707561,5.67015171,0.13183227,23.27551270
Go,send-static-file,2.00299168,7.10543442,5.62152719,0.13030766,23.32506752
Go,send-static-file,2.01083541,7.13939857,5.64285564,0.13128471,23.24854469
Go,send-static-file,2.00941992,7.11442471,5.64848661,0.12740055,23.09482384
Go,send-static-file,2.00908971,7.10025263,5.62404537,0.13021263,21.12666512
Go,send-static-file,2.00984859,7.13441563,5.62000322,0.12940793,23.53155899
Go,send-static-file,2.00622368,7.09723568,5.63006210,0.12732781,23.22554016
Go,send-static-file,2.03068781,7.29410267,5.68693876,0.12975758,23.71304893
Go,send-static-file,2.02625370,7.16022110,5.68975163,0.12750696,23.34597778
Go,send-static-file,2.02662396,7.21759892,5.69417143,0.12921023,23.31406593
Go,send-static-file,2.07505536,7.53780460,5.87267065,0.13090444,23.53997421
Go,send-static-file,2.02987671,7.23799133,5.70966101,0.12934309,23.46450043
Go,send-static-file,2.02870989,7.25490952,5.74841070,0.12862909,23.37283516
Go,send-static-file,2.01249695,7.15902853,5.65392447,0.12881809,23.46432304
Go,send-static-file,2.01931119,7.18753052,5.66632032,0.13036001,23.48339081
Go,send-static-file,2.04094124,7.26096821,5.69600868,0.13076048,23.47596741
Go,send-static-file,2.03554678,7.23826885,5.72033834,0.13053666,23.32936096
Go,send-static-file,2.04289103,7.29520273,5.75880575,0.13140140,25.50373077
Go,send-static-file,2.00952578,7.10704899,5.65128469,0.12941290,23.21963501
Go,send-static-file,2.02983499,7.23195648,5.70514917,0.13062574,21.43332481
Go,send-static-file,2.03554821,7.31669712,5.77349901,0.13279563,23.36060905
Go,send-static-file,2.01750636,7.18974018,5.69512177,0.13044985,23.42411613
Go,send-static-file,2.03046012,7.26249266,5.74262524,0.13183610,21.52595711
Go,send-static-file,2.02047586,7.21047258,5.70276690,0.13125905,23.51255798
Go,send-static-file,1.99036705,7.06779003,5.62477398,0.12818234,23.34763908
Go,send-static-file,2.03267550,7.30605984,5.74759674,0.13125293,23.52199554
Go,send-static-file,2.01578784,7.22452450,5.66941166,0.13322234,23.58343887
